Subcategory,ID,Question,"Main Score
(1 if its part of the score; 0 if is not)",Responses ,Calculate Score (1-Biosecurity/0-risk),Risk Factor -Transmission Pathway,"Risk Factor Classification: Introduction, spread within and release diseases",Recommended Biosecurity Measure,COMMENTS
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_2,"How many times have aquatic animals (eggs, larvae, fry, or adults) been received in the past 12 months?",0,1-2; 3-4; five or more; No aquatic animals have been received in the facility on the last 12 months,,The frequency of introduccitions and combine stock from different origins significantly increase the risk of  pathogen introduction and internal spread,Introduction and spread within,"Minimize the introducction of animals at all stages. Organize the culture system to ensure that production and animal movement within the facility are efficient and secure. Avoid combining animals from different origins, life stages or sanitary statuses",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_3,What aquatic animals are introduced into the facility? (Select all that apply),0,Eggs; Milt; Spermatophores; Broodstock; Larvae; Fry/ fingerlings; Juvenile stock,,No risk factor associated with this question. Question intented to collect information related the stages introduced ,,,
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_4,"Are all required official permits, licenses, and registrations obtained prior acquiring eggs, fry, or adult aquatic animals?",1,Yes;,1,,,,
,,,, No; ,0,Introduction of pathogens via the movement of live animals at all stages when sourced from non-fomalized or unregulated establishments,Introduction,"All necesary permits, registrations, and licences requrired by national or international regulations must be verified prior to acquiring live aquatic animals at any stage. This documentation must be maintained archived and accessible to ensure traceability during sanitary inspections",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_5,"Is health status documentation required prior to purchasing eggs, fry, or adult aquatic animals?",1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via the movement of live animals at all stages when purchased with an unverified or unknown health status,Introduction,"Health status documentation such as sanitary movement permits, diagnostic test results,  Specific Pathogen-Free (SPF) or disease-free certifications must be required for all incoming animals and their farm of origin. This documentation must be Maintained in the facility records and integrated with the traceability system to guarantee the origen and health status of each batch ",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_6,Does the documentation of the health status cover the following agents? (Select all that apply),0,Bacterial infections; Viral infections; Parasitic infections; Fungal infections ,,"No risk factor associated with this question, the question is intended to collect more information about the documentation requested",,,
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_7,Is quarantine applied when receiving aquatic animals?,1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via the movement of live animals at all stages,Introduction and spread within,"All new aquatic animals must be isolated from the existing stock for a minimum of 15 days. During this period, animals should be observed tfor abnormal behaviour and clinical signs of disease before being introduced to the main production area. For cage systems, quarantine must be conducted in land-based facilties or at the farm of origin.  In these cases, the batch mustbe be kept isolated for at least 15 days, and the sanitary status must be verified through inspections and supporting documentation.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_8,Are the quarantine facilities cleaned and disinfected before the arrival of aquatic animals?,1,Yes,1,,,,"Made additional notes related to how develop and implement cleaning and disfection SOPs for facilities, equiments and materials."
,,,,No,0,"Introduction and internal spread of pathogens via cross-contamination of surfaces, specifically from previous batches to new aquatic animals. ",Introduction and spread within,Implement cleaning and disinfection routinesin the quarantine area after each use and before new animals arrive at the facility to avoid cross-contamination beetween incoming batches,
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_9,Is the quarantine zone separated from other production areas?,1,Yes,1,,,,
,,,,No,0,"Introduction and internal spread of pathogens through direct contact of new stock with existing animals, or via vontaminated wastewater discharged from the quarantine area",Introduction and spread within,"The quarantine area must be physically isolated from the rest of the production facility, with sufficient distance to prevent cross contamination. Furthermore,  wastewater discharged from quarantine thanks or ponds, must not be reused for cleaning or disfection, nor should it come intp contact with the general production stock.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_10,"Are specific work clothes designated for the quarantine area, or are general work clothes cleaned and disinfected after use?",1,Yes,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via fomites on the clothing or footwear used by facility personel,Introduction and spread within,"Clothing and footwear used by the personel in the quarantine area must be zone-specific. Alternatively, SOPs for their cleaning and disinfection must be implemented to prevent the trasmision of diseases via fomites from new stock to the main production area.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_11,Which of the following actions are taken during quarantine to reduce the risk of disease introduction? (Select all that apply) ,1,Baths with salt,0.25,,,,
,,,,Vaccination,0.25,,,,
,,,,Eggs disinfection,0.25,,,,
,,,,Treatment for external parasites,0.25,,,,
,,,,Preventive antibiotic treatment ,0,Development of antimicrobial resistance (AMR) resulting from the prophylactic use of antibioticis in the absence of disease. ,Food safety,Anbiotics should not be used as a prophilactic measure,
,,,,No mitigation activities are applied,0,Introduction and internal spread of pathogens through live animals at all stages,Introduction and spread within,"In addition to the isolation and observation during the quaratine period, supllementary mitigation measures should be implementened to reduce the risk of disease introduction. This may include salt baths, vaccinations and parasite treatments (administratered as necessary according to the facility's health plan). Furthermore, all introduced eggs must be disinfected with iodine solutions at least twice.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_12,Are the aquatic animals screened for diseases of concern after arrival?,1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via asymtomatic animals (healthy carriers),Introduction and spread within,"Based on a disseasee risk assessment identifying pathogens of concern, diagnostic screening should be conducted to prevent transmission from asymtomatic (apparently healthy) animals. Disease prioritization must include WOAH-listed diseases and nationally regulated diseases specific to the cultured species and stages.",
2.Risk factors related to Introduction of all life stages of aquatic animals / External,_2_13,"Is there a traceability system in place with individual or group identification for each batch, where the origin of the animals is documented?",1,Yes,1,,,,
,,,,No,0,"Introduction and internal spread of pathogens through the introduction of new aquatic animals and the mixing of stocks from different origins. If a disease is detected from a specific source but batches cannot be tracked, the infection can spread rapidly thoughout the facility",Introduction and spread within,Implement  a traceability systems (using either physical records or mangement sofware) to identify the location and origen of every batch or individual animal (such as broodstock) within the facility. These records must clarly document the source and current placement of every batch.,
 3. Risk factors related to source of water and its quality / External,_3_1,What water sources are used in the facility? (Select all that apply) ,0,Lake; River; Dam; Sea; Underground water; De-chlorinated municipal water; Artificial sea water,,"No risk factor associated with this question, the question is intended to collect more information about the water source used in the facility",,,
 3. Risk factors related to source of water and its quality / External,_3_2,Is the water source shared with other facilities?,1,Yes,0,Introduction of pathogens via shared water sources or hydological connectivity with nearby aquaculture facilities,Introduction ,"Avoid to sharing water sources with other facilities whenever possible. When this is not feasible, mitigation measures such as water treatment systems must be implemented at the intake. For cage production sites located in shared water bodies, a minimun safe distance of 10 km from neighboring facilities should be maintained.  ",
,,,,No,1,,,,
 3. Risk factors related to source of water and its quality / External,_3_3,"If yes, is there coordination between the facilities sharing the same water source for disease control?",1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via shared water sources or hydological connectivity with nearby aquaculture facilities,Introduction,"Coordinate with neighboring facilities to implement shared biosecurity measures, such as all-in/all-out systems and synchronized fallowing Periods. Additionally, information regarding sanitary issues should be shared transparently to allow for the increasse of preventive measures when necessary.",
3. Risk factors related to source of water and its quality / External,_3_4,Is the intake water treated?,1,Yes,1,,,,Made additional notes related to how develop and implement water treatment SOPs
,,,,No,0,Introduction and internal spread of pathogens via influent water used within the production system,Introduction and spread within,"Implement intake water treatment using physical and/or chemical processess, either alone or in combination. The specific treatment method should be selected based on the pathogens identified as risks to the facility",
 3. Risk factors related to source of water and its quality / External,_3_5," If yes, what type of treatment is applied? (Select all that apply)",1,Mechanical filtration (sand and gravels),0.2,,,,should we not score this question?. I propose to don’t score this question. The risk was already assessed in the last question
,,,,Biological filtration-Biofilter,0.2,Introduction and internal spread of pathogens via influent water used within the production system,Introduction and spread within,"Implement intake water treatment using physical and/or chemical processess, either alone or in combination. The specific treatment method should be selected based on the pathogens identified as risks to the facility",
,,,,Ultraviolet (UV) light treatment,0.2,,,,
,,,,Ozone treatment,0.2,,,,
,,,,Chlorination,0.2,,,,
3. Risk factors related to source of water and its quality / External,_3_6,Is the  wastewater treated before disponsal?,1,Yes,1,,,,
,,,,No,0,Realease pathogens via wastewater (effluernt) discharged from the production system,Release,"Implement wastewater treatment using physical and/or chemical process, either alone or in combination. The treatment merhod should be selected in accordance with the enviromental regulations, and the specific pathogens for which the facility aims to reduce the risk of transmission",
 3. Risk factors related to source of water and its quality / External,_3_7,"If yes, what type of treatment is applied to the wastewater? (Select all that apply)",1,Mechanical filtration (sand and gravels),0.2,,,,should we not score this question? I propose to don’t score this question. The risk was already assessed in the last question
,,,,Biological filtration-Biofilter,0.2,Realease pathogens via wastewater (effluernt) discharged from the production system,Release,"Implement wastewater treatment using physical and/or chemical process, either alone or in combination. The treatment merhod should be selected in accordance with the enviromental regulations, and the specific pathogens for which the facility aims to reduce the risk of transmission",
,,,,Ultraviolet (UV) light treatment,0.2,,,,
,,,,Ozone treatment,0.2,,,,
,,,,Chlorination,0.2,,,,
3. Risk factors related to source of water and its quality / External,_3_8,Are water parameters measured?,1,Yes,1,,,,
,,,,No,0,"Certain water parameters can facilitate the survival and transmision of pathongens. Furthermore, when these parameters fall outside of the optimal range for the cultured species, the resulting stress leads to Inmmunosupression, increasinh infection rates, mortality and the overall trasmision of the disease within the facility.","Introduction, spread within and release","Key water quality parameters, including disolved oxigen, pH, temperature, and turbidity must be monitoned consistently, at least once per week, with all data formally recorded. These measurements can be conducted using on-site equipments. Additionally, it is recommended to monitor additional parameters such as ammonia, nitrate, nitrite, alkalinity, and hardness on a seminanual or anual basis to evaluate trends and implement corrective acctions when necessary. ",
 3. Risk factors related to source of water and its quality / External,_3_9,"Which of the following water parameters are measured? 
(Select all that apply)",1,Temperature,0.2,,,,should we not score this question? I propose to don’t score this question. The risk was already assessed in the last question
,,,,Salinity,0.1,,,,
,,,,pH,0.1,,,,
,,,,Carbon dioxide,0.1,,,,
,,,,Oxygen,0.1,,,,
,,,,Ammonia,0.05,"Certain water parameters can facilitate the survival and transmision of pathongens. Furthermore, when these parameters fall outside of the optimal range for the cultured species, the resulting stress leads to Inmmunosupression, increasinh infection rates, mortality and the overall trasmision of the disease within the facility.","Introduction, spread within and release","Key water quality parameters, including disolved oxigen, pH, temperature, and turbidity must be monitoned consistently, at least once per week, with all data formally recorded. These measurements can be conducted using on-site equipments. Additionally, it is recommended to monitor additional parameters such as ammonia, nitrate, nitrite, alkalinity, and hardness on a seminanual or anual basis to evaluate trends and implement corrective acctions when necessary. ",
,,,,Nitrite,0.05,,,,
,,,,Nitrate,0.05,,,,
,,,,Total alkalinity,0.05,,,,
,,,,Total hardness,0.05,,,,
,,,,Calcium hardness,0.05,,,,
,,,,Chloride,0.05,,,,
,,,,Turbidity,0.05,,,,
 3. Risk factors related to source of water and its quality / External,_3_10,How often are the water parameters measured?,0,Daily,,"No risk factor associated with this question, the question is intended to collect more information about the frequency of water parameters monitored at the facility",,,
,,,,Once a week,,,,,
,,,,Once a month,,,,,
,,,,Periodically,,,,,
 3. Risk factors related to source of water and its quality / External,_3_11,cleaning and disinfection of water supply tanks? ,1,Yes,1,,,,
,,,,No,0,Transmision of pathogens via water by cross-contamination from the internal surfaces and linings of the water supply tanks,"Introduction, spread within and release",Implement routine cleaning and disinfection protocols for the water supply tanks to prevent cross-contamination amd buildup of biofilms,
,,,,Does not have water supply tank,(No-score) ,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_1,"What type of feed is used in the facility? 
(Select all that apply)",1,Commercial feed,1,,,,
,,,,farm-made feed,0,,,,
,,,,Food scraps,0,,,,
,,,,Raw or live feed,0,"The use of farm-made feed, food scraps, mortalities, feces, raw or live fish, as a feed can introduce and spread pathogens throughout the production facility.  ",Introduction,"Utilize comercial, balanced feed manufactured in accordance with Feed Manufacturing Practices. All feed should be sourced from trusted suppliers who provide certification for the quality and safety of the product.",
,,,,Mix of commercial and farm-made food,0,,,,
,,,,Mix of commercial and raw or live feed,0,,,,
,,,,Feces from other species,0,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_2,How is the feed administrated in the facility?,0,Feeding with automatic feeders; Hand feed; both,,"No risk factor associated with this question, the question is intended to collect information regarding feed administration methods ",,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_3,How is the feed transported to the facility?,1,Own vehicle,1,,,,One choice question
,,,,Feed company vehicle,1,,,,
,,,,Vehicles from other establishments (nearby establishments),0,Introduction of pathogens via fomites resulting from sharing of vehicles or transport equipment with other establishments,Introduction,"Avoid sharing vehicles with other establishments. When this is not possible, establish rigorous cleaning and disinfection procedures to mitigate the risk of introduction of pathogen introduction",
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_4,Are the following factors verified before receiving veterinary medicinal products? (Select all that apply),1,Feed quality,0.15,,,,
,,,,Package condition,0.15,,,,
,,,,"Aspects of each supply (color, odour, solubility, consistency",0.15,Introduction of pathogens via contaminated veterinary medicinal products and feed,Introduction," To prevent the use of contaminated veterinary medicinal products and feed, the following inputs must be inspected upon arrrival: verify packaging integrity, physical characteristics (color, odour, solubility, consistency), and expriration date. Furthermore, all products must be approved by the compentent authority.",
,,,, Approved by competent Authority,0.2,,,,
,,,,Expiration date,0.15,,,,
,,,,Contamination (different color/smell than usual),0.2,,,,
,,,,No parameters are verified,0,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_5,"Are the vehicles and containers used for transporting aquatic animals appropriate for the species, size, weight, and number of animals being transported?",1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens via fomites when using vehicles or containers that are inaddecuate for the specie and biomass being transported. Surface cross-contamination and physical lessons caused during transport can induce stress, leading to immunosupression and increased disease susceptibility",Introduction,"The vehicles and containers should be constructed from non-porous materials resistant to corrosive desinfectants, such as high-grade plastic, or alumnium. Additionally, their dimensions and design must be addequate for the species, quantity, and biomass being transported to prevent physical lessons or injury.",
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_6,"Are vehicles (trucks, boats) disinfected before entering the facility?",1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via fomites when vehicles are not thoroughly disinfected prior to entering the facility,Introduction,"Implement routine cleaning and disinfection protocols for all vehicles (trucks, boats) entering the facility to prevent cross-contamination and the introduction of pathogens.",
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_7,"How often do vehicles (trucks, boats) arrive at the facility?",,Never,,,,,"score? One choice question
Should we ask this first if vehicles are allowed in the facility?, and then make a logic condition. when the answer is NO the following questions related with vehicles will be hided?"
,,,,Daily,,,,,
,,,,Weekly,,,,,
,,,,Monthly,,,,,
,,,,Rarely,,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_8,Is there a designated parking area for vehicles outside the production area?,1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via fomites through close or direct contact between visiting vehicles and the stocked animals,Introduction,"Designate a specific parking area for all vehicles, including those delivering supplies. This area must be located outside the production zone and at an enough distance to prevent any contact with the stocked animals.",
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_9,Does the facility share equipment with other facilities?,1,Yes,0,,,,
,,,,No,1,Introduction of pathonges via fomites through the use of contamined equipment shared with other facilities,Introduction,"Equipment should not be shared with other facilities. In exceptional cases where sharing is necessary, the equipment must be thoroughly cleaned and disinfected both before and after use within the facility. ",
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_10,Which the following equipment and materials are shared with other facilities? (Select all that apply),0,Net spoon,,,,,
,,,,Aerators,,,,,
,,,,Feeding container,,,,,
,,,, Feeding equipment,,,,,
,,,,Siphon pipes,,No risk factor associated with this question. The question is intended to collect information regarding which equipment or materials are shared with other facilities,,,
,,,,Net production,,,,,
,,,,Container for mortality,,,,,
,,,,Diving equipment,,,,,
,,,,Staff security equipment/clothes,,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_11,Are shared equipment between facilities cleaned and disinfected?,1,"Yes, before and after use",1,,,,
,,,,"Yes, but only before it is used",0,,,,
,,,,"Yes, but only after it's used",0,Introduction of pathogens via fomites through the use of contamined equipment shared with other facilities,Introduction,"Equipment should not be shared with other facilities. In exceptional case that sharing is necessary, rigorous cleaning and disinfection routines must be implemented both before and after each use to prevent cross-contamination between facilities.",
,,,,No clean and disinfection of shared equipment,0,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_12,Is there separate equipment and materials for handling quarantined aquatic animals?,1,Yes,1,,,,
,,,,No,0,Introduction of pathogens via fomites when sharing equiment or materials beetween the quarantine area and the production stock,Introduction,Mantain exclusive equiment and materials for handling animals in the quarantine area. These items must not be used whitin the production stock to prevent transmision of pathogens,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_13,Are the boxes and bags used to transport live animals disinfected before disposal?,1,Yes,1,,,,
,,,,No,0,Introduction pathogens via fomites through improper handling of used transport boxes and bags,Introduction,"Before disposal, all bags and boxes used for live animal transport must be thoroughly disinfected to prevent cross-contamination",
,,,,Does not apply because boxes and bags are no used for animal transportation,(No-score) ,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_14,Are the boxes and bags used to transport live animals reused before disposal?,1,Yes,0,Introduction of pathogens via fomites through the reuse of boxes and bags that were previusly used to transport live animals,Introduction,"Boxes and bags used to transport live animals must be discarted and disposed of after each use. A single use protocol  must be implemented; to prevent reuse, ensure all nags are punctured and boxes are broken down during the disposal process.",
,,,,No,1,,,,
,,,,Does not apply because boxes and bags are no used for animal transportation,(No-score) ,,,,
"4. Risk factors related to Fomites (vehicles and equiment for transport live aquatic animals, quarantine facilities, feed and supplies source and waste etc.) / External",_4_15,Are the containers used to transport live animals disinfected before and after use?,1,Yes,1,,,,
,,,,No,0,Introduction of pathongens via fomites through contaminated surfaces of vehicles where live animals are transported,Introduction,Implement strict cleanining and disinfecion routines for all  internal and contac surfaces of vehcicles where the live animals are transported. This process must be conducted both before and after each use. ,
,,,,Does not apply because containers are no used for animal transportation,(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,_5_1,"Does the facility have barriers (natural or constructed) or fencing to prevent the entry of potential vectors, such as animals and wildlife, that could introduce new pathogens?",1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens via vectors, such as domestic animals or wildlife, through direct or indirect contact with the production stock",introduction,"To have physical or natural barriers, such as fencing, to prevent the  entry of potential vectors, such as animals and wildlife, that could introduce pathogens into the facility.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_2,Are inspections conducted to check for pests and predators?,1,Yes,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via pest or predators. These animals also pose a welfare risk to the aquatic animals by causing physical lessons or direct mortality ,Introduction,"Inspect the production area, storage rooms, and surrounding perimeter routinely, to identify pest or predators that could pose a risk to disease transmisio and animal welfare",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_3,Are nets in place to prevent birds from accessing the animals?,1,Yes ,1,,,,
,,,,No,0,"Introduction of pathogens and welfare issuesm such as skin lessions or direct mortality, caused by predatory birds",Introduction,"Install predaror netting over all cages, ponds, and tanks to prevent avian predators access to the aquatic animals.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_4,"Are there pets (cats, dogs, etc.) on the facilities?",0,Yes,0,Introduction and internal spread of pathogens via pets,Introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,No,1,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,,"If pets (cats, dogs, etc.) live on the facilities is their access to the production area restricted?",1,Yes,1,,,,ERASED / Revise with saraya 
,,,,No,0,Introduction and internal spread of pathogens via pets,introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,"Does not apply, because no pets live in the facilities",(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,,"If pets (cats, dogs, etc.) live on the facilities are they vaccinated and dewormed?",1,Yes,1,,,,ERASED /Revise with saraya 
,,,,No,0,Introduction and internal spread of pathogens via pets,introduction,"Restrict the presence and movement of pets within the facility. Any domectic animal on-site must be routinely dewormed and prohibited from having contact with the aquatic animals, feed, equiment or materials that como into contact with the stock.",
,,,,"Does not apply, because no pets live in the facilities",(No-score) ,,,,
5. Risk factors related to Vectors (animals and wildlife) / External,_5_5,"Is aquatic animal waste (e.g., dead animals, entrails of slaughtered animals unsuitable for human consumption) kept away from predators and scavengers?",1,Yes ,1,,,,
,,,,No,0,Introduction and internal spread of pathogens via infected animal waste and through predators and scavengers acting as biological or mechanical vectors ,Introduction and spread within,"Aquatic animal waste (e.g., dead animals, entrails from slaughtered animals unsuitable for human consumption) must be stored propperly to prevent access by predators and scavenger before to final disposal.",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_6,"How is organic waste (fecal matter, uneaten feed, unfertilized eggs) managed at the facility? (Select all that apply) ",1,Buried in the ground,1,,,,"Yes/No Score for posible correct answers
Multiple choice question"
,,,,collection for final disposal outside the facility,1,,,,
,,,,Siled with acids,1,,,,
,,,,Used to feed other fish/animals,0,Internal spread and release of pathogens via infected organic waste utilized as feed,Spread within and release,"Organic waste must not be used as feed, either alone or in combination. ",
,,,,Released to water source,0,Release of pathogens into the surrounding aquatic enviroment,Release,"Organic waste must not be released to any water source. This prevents the contaminatrion of water, affecting wild populations, neighbouring aquaculture facilities and downstream human users",
5. Risk factors related to Vectors (animals and wildlife) / External,_5_7,Are pest control measures in place at the facility?,1,Yes,1,,,,
,,,,No,0,"Introduction and internal spread of pathogens via pests. These animals also pose a welfare risk to the aquatic animals, as they can cause physical lesions or direct mortality.",Introduction and spread within,"Implement physical or chemical pest control measures selected based on the identified pest species,the level of infestation, and the specific facilty conditions. Exclusion measures must be applied to storerooms to prevent rodent entry. In particular, the use of natural predators (such as cats or snakes) is not a valid biosecuriy measure, as these animals themselves pose a risk for disease transmission.",
